stakeholder,interest,influence,stance,mitigation,owner
Sponsor,ROI and business success,high,supportive,Regular updates and transparency,Team Lead
Agricultural Ministry,Compliance and development,medium,neutral,Early engagement and compliance,Business Expert
Export Promotion Agency,Trade facilitation,medium,supportive,Partnership and promotion,Team Lead
Local Farmers,Land use and competition,low,neutral,Community engagement,Business Expert
Equipment Suppliers,Sales opportunities,low,supportive,Partnership development,Business Expert
International Customers,Reliable supply,high,interested,Value demonstration,Market Analyst
Regional Distributors,Margin and exclusivity,medium,interested,Partnership terms,Market Analyst
Competitors,Market share protection,medium,opposed,Differentiation strategy,Team Lead
Environmental Groups,Sustainable practices,low,neutral,Sustainability commitment,Business Expert
Local Community,Employment and development,low,supportive,Community benefits,Business Expert
